City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hotan,37.0997,79.9269,15.33,35,81,4.18,CN,1695489341
1,waitangi,-43.9535,-176.5597,13.23,95,100,2.68,NZ,1695488953
2,grytviken,-54.2811,-36.5092,-1.02,79,98,4.94,GS,1695488947
3,takaungu,-3.6837,39.8566,25.16,85,13,6.02,KE,1695489341
4,thompson,55.7435,-97.8558,19.67,41,74,1.93,CA,1695488962
5,adamstown,-25.066,-130.1015,20.44,89,90,11.77,PN,1695488956
6,port-aux-francais,-49.35,70.2167,1.96,87,90,22.28,TF,1695488943
7,edinburgh of the seven seas,-37.0676,-12.3116,14.28,89,100,19.74,SH,1695488950
8,alto barinas,8.5931,-70.2261,33.44,46,25,2.77,VE,1695489343
9,ghadamis,30.1337,9.5007,37.2,11,83,3.64,LY,1695489343
10,formosa do rio preto,-11.0483,-45.1931,38.15,13,0,2.34,BR,1695489343
11,umluj,25.0213,37.2685,30.2,67,1,3.15,SA,1695489344
12,chonchi,-42.6128,-73.8092,8.56,54,76,1.32,CL,1695489054
13,punta arenas,-53.15,-70.9167,9.06,57,40,14.4,CL,1695488960
14,hell-ville,-13.4,48.2667,26.39,72,8,4.49,MG,1695489344
15,puerto deseado,-47.7503,-65.8938,9.69,39,23,7.07,AR,1695489016
16,invercargill,-46.4,168.35,5.01,90,99,0.89,NZ,1695488949
17,olonkinbyen,70.9221,-8.7187,2.07,66,100,5.05,SJ,1695488942
18,longyearbyen,78.2186,15.6401,-4.09,74,20,2.57,SJ,1695488991
19,aasiaat,68.7098,-52.8699,-0.46,57,0,4.93,GL,1695489010
20,bredasdorp,-34.5322,20.0403,10.92,83,100,4.29,ZA,1695488960
21,timbuktu,16.7735,-3.0074,40.36,15,30,2.21,ML,1695489346
22,fortuna,40.5982,-124.1573,15.19,85,0,0.0,US,1695488993
23,yellowknife,62.456,-114.3525,13.56,90,100,2.68,CA,1695488943
24,carnarvon,-24.8667,113.6333,18.3,76,0,9.6,AU,1695489000
25,ilulissat,69.2167,-51.1,0.83,45,7,1.93,GL,1695488956
26,san antonio de pale,-1.4014,5.6325,24.79,82,94,5.31,GQ,1695489025
27,cisnadie,45.7167,24.15,24.88,51,0,2.68,RO,1695489347
28,knyaze-volkonskoye,48.4642,135.4567,9.19,73,26,3.4,RU,1695489348
29,malvan,16.0667,73.4667,26.29,86,100,1.98,IN,1695489348
30,st. john's,47.5649,-52.7093,17.93,69,75,9.77,CA,1695488751
31,puerto ayora,-0.7393,-90.3518,27.98,88,87,2.24,EC,1695488976
32,touros,-5.1989,-35.4608,29.56,55,0,5.7,BR,1695489119
33,ouarzazat,30.9189,-6.8934,34.16,4,0,3.09,MA,1695489349
34,port mathurin,-19.6833,63.4167,23.14,69,3,10.71,MU,1695488958
35,korhogo,9.45,-5.6333,28.7,70,58,1.59,CI,1695489349
36,tiksi,71.6872,128.8694,0.93,83,40,4.51,RU,1695489041
37,whangarei,-35.7317,174.3239,12.52,97,100,3.11,NZ,1695489350
38,hasaki,35.7333,140.8333,21.27,56,100,9.32,JP,1695489062
39,bilibino,68.0546,166.4372,1.75,99,100,1.81,RU,1695488948
40,uribia,11.7139,-72.266,35.18,44,98,5.55,CO,1695489350
41,monze,-16.2833,27.4833,27.21,22,6,3.96,ZM,1695489350
42,cedral,23.8,-100.7333,26.43,38,4,1.52,MX,1695489351
43,atherton,53.5237,-2.4935,16.05,62,99,1.79,GB,1695489351
44,puerto natales,-51.7236,-72.4875,6.92,64,95,5.98,CL,1695488957
45,lhasa,29.65,91.1,11.55,76,99,2.42,CN,1695489353
46,udachny,66.4167,112.4,6.92,93,100,2.88,RU,1695488947
